Caller,Callee,CallTime,Duration,IMEI,IMSI,CellTowerID,FraudType
+917323169889,+919967906665,2023-12-18 01:13:29,610,140564014435899,451964098905323,TWR-3426,Vishing
+917547374338,+917179653598,2023-04-30 17:10:33,1493,144920464671025,450358057430208,TWR-4441,SIM Swap
+918071722055,+919864457210,2023-02-09 22:06:21,1448,730375700607676,433320055123637,TWR-3662,None
+918770791023,+917106456634,2023-03-11 15:45:45,3016,474009722778369,437547669971810,TWR-3608,SIM Swap
+917464267175,+918643004186,2023-12-05 17:11:01,158,629951112348791,428085746494081,TWR-8541,Vishing
+918310784794,+917977515194,2023-03-28 13:47:53,96,317444144115546,446198379634128,TWR-5564,None
+918198832728,+918508161137,2023-09-07 03:02:35,2086,865068536009374,446606993157927,TWR-1452,None
+918121910732,+917766942939,2023-08-14 11:29:18,1087,222050249963842,461158601581772,TWR-6663,SIM Swap
+918347233823,+918874297457,2023-08-24 10:16:33,2094,533689114375769,481148680466729,TWR-4114,Vishing
+917190638698,+918872852789,2023-01-01 15:45:49,2129,873332649114988,427731189190467,TWR-6967,Vishing
+917300535210,+919852879124,2023-12-24 14:12:23,1352,453439830187239,442266343864371,TWR-9308,Vishing
+919864283209,+918754034197,2023-05-07 16:14:42,1648,432880139796518,417912394807803,TWR-4143,Vishing
+919855850145,+918628416575,2023-09-21 01:03:38,3064,295940285563814,480095193752239,TWR-5930,Vishing
+919353372386,+917001743499,2023-04-29 00:19:11,1175,584009357248577,481624933301659,TWR-6279,Vishing
+918897456484,+918899061865,2023-09-20 09:18:08,875,632758528806030,423883179096113,TWR-2389,Vishing
+919213849513,+919851230518,2023-09-03 19:26:10,2536,205142239028699,433057294423748,TWR-6085,None
+917855256552,+917632880459,2023-01-10 11:39:40,189,788231895173379,464094109753072,TWR-7790,SIM Swap
+919472487690,+917835092972,2023-10-06 23:28:09,2852,656620820801974,434335685060195,TWR-3417,SIM Swap
+919953315788,+917023814791,2023-12-13 16:11:33,3075,966994383869241,415001828841737,TWR-7965,None
+917755427535,+919988918316,2023-07-21 03:42:58,1902,727580836977828,417080433545767,TWR-8478,None
+918995627518,+919867224513,2023-07-26 06:30:28,2289,457245052227621,462289444371793,TWR-9270,Vishing
+919353092123,+918915184358,2023-12-15 10:35:08,651,606735165195144,439026811586479,TWR-9540,Vishing
+919691864041,+918027553177,2023-04-17 15:26:01,1801,903378260472567,432999460928241,TWR-5451,Vishing
+918373142116,+919319936135,2023-02-01 07:02:17,566,360374450198166,497664906467795,TWR-3503,SIM Swap
+917918920620,+917275860817,2023-06-11 02:50:56,1669,710926159242370,458516635570362,TWR-2020,None
+918804502687,+918672790155,2023-12-18 09:42:21,3153,121993219804014,481023551275395,TWR-7232,Vishing
+917025323460,+918510792572,2023-04-26 23:16:17,3086,571775682121843,476861594991186,TWR-4613,Vishing
+917942408767,+918172248246,2023-06-19 06:17:08,1989,537811910945722,494134241891822,TWR-7624,SIM Swap
+917708861714,+919007425404,2023-12-24 02:44:56,522,800599277492351,403794750165916,TWR-7455,SIM Swap
+919424045110,+919847562279,2023-01-11 12:36:33,343,582576696032702,425574218260125,TWR-1823,Vishing
+918628238707,+918405969000,2023-03-24 04:49:00,1862,479990045371065,439158845172324,TWR-7906,Vishing
+917351784589,+919019952485,2023-01-08 12:39:55,3068,158641505279486,431556627791939,TWR-2124,SIM Swap
+917172907376,+917133272825,2023-04-07 00:50:50,816,122947319755704,421447440325261,TWR-4908,None
+919033929266,+919875303857,2023-02-14 10:11:12,2310,345409911944281,498442647730072,TWR-5198,Vishing
+917720648887,+919602289301,2023-08-24 19:57:24,3063,228955183415932,415214110064422,TWR-1420,Vishing
+919473028098,+919909184445,2023-12-19 15:25:01,1537,323298420683808,483326986912070,TWR-4978,None
+919994421136,+918295287749,2023-11-27 05:18:26,2802,996471863752425,479650099116339,TWR-1672,Vishing
+919288123416,+918839869544,2023-09-14 21:49:32,1517,669658988504585,448024810513676,TWR-1207,Vishing
+919105400301,+917453285987,2023-06-18 08:43:51,1483,617620132882818,421533708922360,TWR-8135,None
+919240885202,+919793693337,2023-04-15 21:21:01,2522,972168435331866,465423018458655,TWR-8136,SIM Swap
+919544659112,+918152750071,2023-05-06 04:05:47,3488,197577081200956,434318724874893,TWR-8613,SIM Swap
+919621354709,+919869847630,2023-05-28 04:26:10,1377,656537690513921,445745056517005,TWR-3979,Vishing
+917911047815,+918523961606,2023-11-06 20:20:11,1058,414865514213958,483901672105574,TWR-5526,SIM Swap
+917043598698,+919218897149,2023-03-16 04:46:29,350,910731948311184,468759877037155,TWR-4937,SIM Swap
+919044804330,+919774131811,2023-10-04 10:51:07,2010,992762416976173,413095429344757,TWR-5820,None
+918736889606,+919971203213,2023-04-05 11:46:06,1254,754774910929074,466603642789847,TWR-9698,Vishing
+918827524957,+919363900493,2023-05-09 11:11:54,1441,610872198729019,443152700000098,TWR-5118,None
+917518213060,+917827143233,2023-05-03 13:07:12,489,703330131620874,426056235847432,TWR-4138,None
+919079617090,+918187556862,2023-10-09 09:37:18,2414,955918162143980,483990338771475,TWR-5636,None
+917833728665,+918272368870,2023-03-30 08:17:48,1478,440321094328723,499643302033957,TWR-9751,None
+918178158203,+917195488441,2023-01-22 04:13:09,2266,885220060673933,417772334537573,TWR-9042,None
+917052679490,+919465587067,2023-04-21 10:14:04,1922,595924749861802,425947360755997,TWR-1841,Vishing
+919051831252,+917490000526,2023-11-16 06:40:23,267,653657365218115,481205264845975,TWR-1878,None
+917640798731,+919417377633,2023-04-28 23:57:08,348,379439136090900,478538280720240,TWR-7818,SIM Swap
+919560345306,+919656086594,2023-03-29 15:33:23,3177,528266318417995,441847767837166,TWR-8025,Vishing
+919442244963,+919667292043,2023-01-24 09:23:13,2497,933266433765447,429243413282091,TWR-4457,Vishing
+919836517266,+917348697524,2023-03-02 23:52:41,982,721486809222009,422029209662366,TWR-1043,Vishing
+918934898666,+919960826470,2023-08-19 14:43:17,1924,136748991133712,440545485457093,TWR-5632,SIM Swap
+918950049698,+917305714736,2023-09-24 22:53:30,956,397864245112631,483007222566184,TWR-4241,Vishing
+917492960451,+919338877621,2023-03-29 07:22:33,2652,180398103714024,423347698364495,TWR-6039,SIM Swap
+919444725646,+918239573053,2023-06-20 13:12:24,509,875381048923907,498476316224389,TWR-7594,Vishing
+919149511642,+919319203166,2023-07-11 18:30:18,1793,773326663456344,484964427410119,TWR-5102,None
+917392245997,+917983222878,2023-09-19 20:54:58,3424,747616044651883,494617119184401,TWR-5415,SIM Swap
+917172793727,+917752438459,2023-07-02 17:23:07,2125,597905471935359,439148266438400,TWR-3973,SIM Swap
+918872111746,+919726379588,2023-11-13 05:18:46,2014,202731189846274,448968940820980,TWR-7690,Vishing
+918378934717,+919878201524,2023-02-10 14:56:29,3513,471326383280470,497626374640286,TWR-9117,Vishing
+919845774616,+918719929315,2023-11-12 22:59:06,3115,141315653067184,412392934111377,TWR-6153,Vishing
+918388450337,+917497879474,2023-10-28 00:40:06,1655,679386213058488,492556550172587,TWR-9889,Vishing
+918774884818,+917232804774,2023-03-14 20:23:45,2123,801021820916349,470157244711483,TWR-8242,None
+917874275988,+918146997816,2023-08-02 07:05:53,536,424295490008662,468219964523412,TWR-2989,None
+919705925058,+919615083895,2023-11-07 10:08:38,980,278317205722058,477521199387192,TWR-1224,SIM Swap
+918752306681,+917400330495,2023-03-29 06:21:42,3446,227749133288911,491156890403555,TWR-3522,Vishing
+918253535854,+919185588660,2023-10-01 22:54:46,1119,374416078644555,477581956150597,TWR-3369,Vishing
+917818665301,+919574307168,2023-07-17 09:08:54,3056,253694886397581,409826301173385,TWR-5526,Vishing
+918459753033,+919180716723,2023-04-14 18:13:46,3360,418446066212329,442020783422010,TWR-9022,None
+918917906456,+919313185971,2023-07-08 02:23:20,1413,721401591171306,476483759153083,TWR-7180,Vishing
+918382023198,+917810255760,2023-09-28 21:09:23,978,531187107599517,457813590742319,TWR-1715,Vishing
+919031417512,+918637375316,2023-05-30 22:30:53,2718,657689271771087,405213939219470,TWR-3068,SIM Swap
+919534805646,+918425906387,2023-12-04 18:11:40,411,212263746283624,402158036073751,TWR-3361,Vishing
+919812264367,+917662976399,2023-01-30 01:26:59,1923,481183780751472,497489844563351,TWR-7512,SIM Swap
+917344951668,+918411178445,2023-11-28 00:23:49,2762,700805191047550,488211398374546,TWR-8994,SIM Swap
+917154185462,+919651968205,2023-01-27 13:43:39,961,870567088358578,440445367419503,TWR-4727,SIM Swap
+917388176285,+918863893256,2023-02-08 05:33:23,3114,892510087384111,414147075005020,TWR-8269,None
+919980712298,+918286196999,2023-12-17 20:31:21,118,465209856643174,407897569300210,TWR-5806,Vishing
+918609930218,+918849785671,2023-02-26 12:48:31,1000,563927468786714,495956295002459,TWR-3950,None
+917751917162,+917339166473,2023-08-25 16:52:30,3566,797731965152347,433894520973419,TWR-9153,SIM Swap
+917614685938,+917997241761,2023-06-29 02:13:43,2612,617428685875381,493850427004746,TWR-1153,Vishing
+918235368585,+919910316591,2023-08-01 06:39:50,647,597340350242064,448635974448741,TWR-5901,SIM Swap
+918822393017,+919964873967,2023-04-08 03:05:03,1871,440160745428634,415008691095045,TWR-4886,Vishing
+919456389272,+918541717841,2023-08-12 05:38:07,1211,887319013576912,403085054524976,TWR-7484,Vishing
+917034780500,+919430646623,2023-12-02 23:00:45,2809,938423908675099,406906194036949,TWR-9138,Vishing
+917988350974,+919607324296,2023-11-08 10:32:51,1443,816766557810278,487381926247803,TWR-5106,SIM Swap
+919831163141,+919924250367,2023-11-22 13:52:05,560,209395515334205,488308407695108,TWR-1645,Vishing
+918893321208,+917143299564,2023-08-14 02:01:09,1494,247956178873859,445978892393436,TWR-7807,None
+917862407093,+917567622001,2023-11-02 10:49:50,2209,697684925290194,436164331345242,TWR-8894,Vishing
+918454770940,+917494650131,2023-07-01 21:09:53,308,949098459096796,431752549338846,TWR-7511,SIM Swap
+918570991899,+917387847884,2023-11-04 01:41:24,1616,397752962542685,417392627142041,TWR-8451,Vishing
+919889775885,+919887681752,2023-04-12 19:31:17,2394,221987256608131,432906642855584,TWR-8724,None
+919660933507,+919411226340,2023-05-08 09:14:24,2498,829191908345164,489421490617829,TWR-8606,SIM Swap
+918297896903,+919788462200,2023-06-08 13:35:35,477,151054876585264,405239629296189,TWR-5986,Vishing
+917498733671,+917417436465,2023-04-02 04:29:41,2201,537576145756430,452215865802566,TWR-9850,Vishing
+919522607583,+917663670797,2023-12-10 20:39:16,1699,211487278970422,468869086308586,TWR-7686,Vishing
+917140515379,+919964732879,2023-05-24 21:35:22,889,600683421879759,433229949605216,TWR-6942,None
+919944974316,+918577691630,2023-07-31 10:47:22,2641,168171261414552,438828214352589,TWR-4109,None
+918952996248,+917393734347,2023-09-15 09:27:08,868,820006778633842,407116852539049,TWR-6464,None
+917540838949,+919424843951,2023-03-21 16:39:16,281,961492399239428,429156618309570,TWR-4538,None
+918411152518,+917633740357,2023-11-03 06:41:33,2441,412179710088355,476025774418453,TWR-5106,None
+917472130062,+919839220941,2023-12-03 11:52:46,105,116729463708481,433486951327291,TWR-6304,None
+917748381742,+918139744790,2023-01-21 08:23:39,519,573961416703003,415996717730444,TWR-2041,Vishing
+918925327382,+918554945552,2023-07-19 07:43:28,2431,608911143286444,431179331572374,TWR-1710,SIM Swap
+919829967158,+919239615923,2023-04-28 03:23:54,1876,168483387325701,467413800608190,TWR-7580,Vishing
+919946766309,+917463692519,2023-07-10 09:38:12,2917,599409819412291,445329431834460,TWR-3430,None
+917541988748,+918181184718,2023-08-31 11:03:38,2593,717395472987585,445765935211850,TWR-7240,SIM Swap
+919278724262,+918266576188,2023-06-26 04:56:03,2070,584363242127381,416104846512352,TWR-4522,Vishing
+918939413575,+917981372436,2023-06-10 17:01:19,1388,610597855821583,458546411744873,TWR-2557,Vishing
+918832937460,+918342278523,2023-09-16 07:15:16,1044,873292337354796,466747755970389,TWR-2099,None
+917366637148,+917400420225,2023-06-17 17:22:51,395,931809514201582,478302107614994,TWR-1982,SIM Swap
+919411995282,+919412411754,2023-05-09 00:31:23,2744,562529848052897,459522879234303,TWR-1842,Vishing
+919578741716,+918341957809,2023-05-17 13:34:48,424,671297557018572,421776397896933,TWR-8900,None
+917464794418,+918503728142,2023-11-25 07:27:04,2278,229348813749028,439207736844140,TWR-4705,Vishing
+919409329326,+919670283403,2023-08-27 06:55:02,2764,726831762386603,485706185151025,TWR-5381,None
+917774881143,+918173687378,2023-09-30 21:37:38,3122,495215760179129,425529311831584,TWR-3347,SIM Swap
+919823273703,+918721355673,2023-01-28 00:34:59,581,812890444162559,404316321058734,TWR-2503,SIM Swap
+919278405793,+917923988689,2023-05-27 02:23:09,1719,483813110866279,452077154531682,TWR-6105,SIM Swap
+918393213895,+919437795758,2023-08-20 13:12:30,347,159235687904934,422154109523382,TWR-1815,SIM Swap
+917350389989,+918168672809,2023-06-22 02:06:44,2711,646806992485226,462210913686861,TWR-7785,Vishing
+917925861658,+919200510647,2023-02-14 04:51:21,1413,224852250792424,495448274753340,TWR-8972,SIM Swap
+919865312534,+918324651201,2023-01-18 15:19:13,903,161678304451664,428767723964396,TWR-5938,None
+917589418977,+918097447932,2023-04-23 09:50:34,1343,108702119070550,424727976372282,TWR-3116,Vishing
+919287423767,+917988317990,2023-07-14 06:46:58,2288,852155431973757,449846558073526,TWR-2180,Vishing
+917181686832,+918873548915,2023-01-08 06:41:01,1883,187668533841196,444061477256691,TWR-8033,SIM Swap
+918736983049,+919749387529,2023-06-12 05:11:23,1185,556022942285976,424186355712508,TWR-8538,SIM Swap
+918554145481,+917378514962,2023-06-19 14:26:55,3459,373946353719480,482877560160040,TWR-7560,SIM Swap
+917337786687,+918699805002,2023-12-05 01:52:32,1270,482259587518646,446871929745998,TWR-3754,None
+919192509020,+919719679239,2023-02-14 06:48:19,2173,318315377883111,449410804328537,TWR-3419,None
+917441542090,+917628973138,2023-04-10 09:47:48,808,778240505720474,492254863085427,TWR-2234,None
+919697019445,+919122216473,2023-06-30 04:21:21,3090,955547021686767,463177162753358,TWR-6295,SIM Swap
+918357806226,+917648357091,2023-06-20 18:53:11,279,597883212887639,442617377289349,TWR-5500,SIM Swap
+917241257421,+918511580323,2023-07-17 00:43:21,303,619877059601288,405293340663953,TWR-1932,Vishing
+918232986477,+917329557138,2023-09-08 08:43:37,3539,792435015281657,471363433176428,TWR-7299,Vishing
+919492495810,+919380770668,2023-11-04 12:16:36,3026,146187631095318,480456805521545,TWR-4084,Vishing
+919598480273,+919042811108,2023-07-14 17:04:55,617,169664187960050,414566169082781,TWR-6626,SIM Swap
+917362190850,+919167021467,2023-09-08 22:20:27,706,378932524185584,461610050105901,TWR-8199,SIM Swap
+919245185702,+919619094295,2023-03-03 15:37:18,1490,536189503665855,495547295742643,TWR-1857,SIM Swap
+919780155330,+918437308013,2023-01-26 14:20:34,1350,728208092416675,454402969388234,TWR-5655,Vishing
+919819921250,+919588580274,2023-12-06 03:33:23,615,191763408058104,493396566698683,TWR-3317,Vishing
+918332435144,+919817733555,2023-09-29 06:18:18,2712,245184462953412,499761761066786,TWR-2388,Vishing
+919400552009,+918617825308,2023-09-07 21:47:30,3242,854480273889157,496464953288111,TWR-9624,None
+919774655465,+919879586763,2023-06-14 10:26:00,2082,120527202747432,443466626380649,TWR-3953,None
+918467729242,+919088517710,2023-03-16 13:37:06,927,254885110527944,410858342808764,TWR-5846,None
+919180510715,+919318297747,2023-11-21 07:52:51,3025,692825246350995,493158002774465,TWR-6517,SIM Swap
+917562851356,+919565153945,2023-05-27 07:17:01,631,303612211447936,497512213120917,TWR-3712,SIM Swap
+918879792991,+917187657564,2023-06-09 13:28:47,1492,910184060837573,485931318509994,TWR-5668,SIM Swap
+918928130926,+918005034996,2023-07-27 09:20:40,979,983121763514692,427306693885383,TWR-7026,SIM Swap
+919449932632,+918892351448,2023-06-29 07:10:09,3151,976088639238432,470778406200410,TWR-9641,Vishing
+917696034559,+917857695227,2023-11-08 04:16:38,2476,158747636430320,467635603853091,TWR-7081,SIM Swap
+917440619526,+919215813941,2023-11-27 13:26:33,510,194434670273488,422564740767722,TWR-5469,Vishing
+919204833223,+917632857647,2023-11-19 17:55:00,1791,349992482052695,463491714283232,TWR-6727,None
+918781968664,+917228736604,2023-06-03 23:13:07,2056,365460649816241,452764023724044,TWR-4678,None
+918368741091,+917425558776,2023-11-22 21:41:23,2927,477504647074509,420554817465333,TWR-3254,None
+918232137626,+919029178475,2023-09-28 07:51:40,3404,954376965466870,466020972561612,TWR-8349,SIM Swap
+917022553699,+917340272119,2023-01-08 09:07:44,1048,717896112220921,474279779537138,TWR-7934,None
+918237386857,+918020657023,2023-04-27 22:55:57,499,368457135918791,489925533413324,TWR-8489,None
+917476131010,+919146750150,2023-08-20 18:00:39,2195,811517237746532,480932282280435,TWR-4963,SIM Swap
+917616657849,+918251003660,2023-06-16 16:47:47,6,497235575859506,480312626683455,TWR-7825,None
+919853453016,+919869961166,2023-02-03 05:58:47,2144,506007444600032,476572936361191,TWR-9312,SIM Swap
+919380064537,+917087335169,2023-06-01 15:17:33,3577,149016185996752,454450030596651,TWR-7116,Vishing
+917069759864,+918533706498,2023-11-03 05:32:21,276,371482068728316,492478088807882,TWR-2698,SIM Swap
+918428156550,+917572989855,2023-01-18 05:14:18,1443,481172102696577,490468390149626,TWR-3868,SIM Swap
+918995540139,+919986674107,2023-07-05 20:14:01,2587,171043633230575,464415677291390,TWR-1605,Vishing
+917865826728,+917188146518,2023-11-04 05:40:20,817,147184020187306,472534739460631,TWR-7524,SIM Swap
+919033236512,+918087974350,2023-01-15 05:19:49,3085,315163460076927,450239461298253,TWR-1783,SIM Swap
+918425605673,+918173456409,2023-02-18 08:11:28,3274,591964314583335,456297956664160,TWR-8204,Vishing
+918456151216,+917802373824,2023-07-12 16:56:57,2834,513594602549603,437535949472548,TWR-2353,SIM Swap
+918823212172,+917338988898,2023-06-17 05:32:58,2467,714146738644327,445205792507580,TWR-2680,None
+918408405265,+919838626452,2023-04-25 19:33:50,1255,778490783844622,459969415725477,TWR-3730,SIM Swap
+918906571986,+918509882812,2023-06-23 15:33:01,173,496949087786860,438639393850051,TWR-1939,None
+919882712850,+919738095498,2023-06-07 18:09:13,1488,864949781106813,420091990758640,TWR-8179,None
+917542153826,+917288765093,2023-04-02 15:38:10,3188,512448480388351,453881920153244,TWR-1530,SIM Swap
+917659011900,+919916549321,2023-06-24 17:34:56,1519,599832711824604,410822300041482,TWR-3255,SIM Swap
+918576038028,+918709543220,2023-05-03 02:17:04,2660,381038087009915,415968518841457,TWR-1424,SIM Swap
+917799070274,+919143377496,2023-07-21 01:44:08,1585,732390613330933,436838440277432,TWR-5264,SIM Swap
+918916728422,+917921572928,2023-08-26 15:06:31,1169,653045752947664,417258038354756,TWR-3223,None
+918941508568,+917741553420,2023-12-16 00:17:44,2921,851921297129737,499859481812259,TWR-2063,SIM Swap
+919328608265,+918247096480,2023-12-13 03:48:48,1228,277338561256717,499861046828804,TWR-3852,Vishing
+919185089287,+917963110410,2023-02-17 03:10:48,823,256361686307051,403700088649929,TWR-6912,SIM Swap
+919457912746,+918584461407,2023-07-01 12:32:17,3291,721099442678775,486123241582560,TWR-2412,None
+918328393535,+918710084067,2023-10-06 10:18:19,2944,691878614010859,410379110166017,TWR-3053,Vishing
+919758823240,+917318536327,2023-06-24 18:03:58,1908,682494975663977,418061817159396,TWR-3981,None
+918858081385,+919159783506,2023-12-20 16:27:12,3556,683330106508792,442800006301064,TWR-3697,None
+918385817349,+917968387506,2023-05-15 09:10:07,2125,419811403505022,411101828750484,TWR-5105,None
+919727549434,+919365845882,2023-04-17 14:04:08,512,440950073308960,475082962250745,TWR-2530,SIM Swap
+919753020051,+917724285673,2023-08-18 20:03:16,2378,292754499536517,487886450046893,TWR-6531,SIM Swap
+917176928180,+917121863227,2023-02-01 13:03:06,186,822215709701985,481173898442972,TWR-5336,SIM Swap
+917905415100,+919457310580,2023-06-11 18:52:12,2531,134100489809236,476783823999515,TWR-5745,SIM Swap
+918297484349,+919074232200,2023-04-06 02:25:39,3296,871233565012431,441860495420930,TWR-8430,None
+919957572769,+917257324536,2023-03-03 09:24:59,1800,645217818537934,428713851137656,TWR-6573,SIM Swap
+917617052325,+918342531599,2023-12-01 13:37:22,2942,926636547045390,418401352370868,TWR-7070,SIM Swap
+919412273600,+917456056539,2023-05-04 22:22:32,990,237947763097353,463274606986770,TWR-5061,None
+917415802902,+917217348079,2023-04-23 16:58:18,1573,792854950844307,434941354828003,TWR-3616,Vishing
+919481146933,+918343100352,2023-03-15 17:22:55,3125,660996427672093,472443196070378,TWR-8648,Vishing
+918325171272,+919136189070,2023-01-10 00:01:07,368,542755058419431,464349370896108,TWR-4944,None
+919505443885,+918515672889,2023-01-19 21:31:36,207,657200200628228,492079128903324,TWR-8710,Vishing
+919305069227,+917035121678,2023-11-26 00:13:07,440,250798152583245,437223976705662,TWR-6992,Vishing
+918571688961,+917194314620,2023-06-05 13:41:28,209,732548052826703,451020752547337,TWR-5728,None
+918659355558,+919165761020,2023-06-24 21:36:25,3130,414939428532027,495758972666527,TWR-2946,None
+917415243819,+918691803583,2023-05-25 22:27:38,3255,481779586194891,428012396328102,TWR-9341,Vishing
+919147818256,+917172893522,2023-01-18 14:15:28,159,903430055858376,473089493191674,TWR-8487,None
+919603869092,+919214080278,2023-02-24 06:51:11,1343,790256784273010,422867773959969,TWR-7438,SIM Swap
+918285201700,+919550027973,2023-05-11 15:13:40,2077,673888497632745,468940806450262,TWR-5911,Vishing
+917071455195,+918582084743,2023-05-09 15:22:36,2759,757191914856982,496833783325493,TWR-1436,SIM Swap
+919038349447,+918140444523,2023-09-12 14:33:02,3206,973883990800369,481293330539740,TWR-4728,SIM Swap
+917220568746,+919506213395,2023-07-06 14:06:26,698,808220883834648,487220998336569,TWR-7229,None
+919923699745,+918040226318,2023-01-13 06:15:30,2345,888718981845746,426848312564970,TWR-1310,Vishing
+918347298951,+918798647685,2023-02-28 19:26:29,1691,329560377712668,470623909805666,TWR-8726,SIM Swap
+917267496095,+917593059748,2023-07-21 10:28:40,849,465972277315205,493200782260975,TWR-8837,SIM Swap
+918618450083,+918347557120,2023-03-09 06:10:37,1882,700251366963208,476881384881742,TWR-6804,SIM Swap
+919923781318,+919762991549,2023-11-09 02:35:04,2839,786882370174306,427060373502516,TWR-5038,Vishing
+919396963917,+918282044148,2023-03-29 07:54:45,1219,425390034513228,429174445400905,TWR-9011,Vishing
+919060740001,+918498098234,2023-08-06 16:07:22,3257,407887830138685,417151040458887,TWR-9899,Vishing
+918694503971,+918482342139,2023-10-28 05:28:54,3295,427019439027605,440480247438981,TWR-2294,Vishing
+918899990924,+919817378520,2023-04-10 14:13:51,3061,340928248098898,438158802632226,TWR-5450,None
+917469124598,+919644312718,2023-10-15 17:36:15,2403,372980559107838,494270455215747,TWR-9700,None
